row_type,cell_id,transform,measurability,drawing_id,param_idx,param,n_lid,n_flip,violation_frac,r_meta,verdict
obs,F01,translate,MEASURABLE,high_quality_14030,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",464,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14040,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",467,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14040,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",467,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14040,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",467,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14061,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",787,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14061,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",787,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14061,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",787,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14094,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",2861,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14094,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",2861,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14094,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",2861,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14127,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",405,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14127,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",405,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14127,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",405,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14157,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",729,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14157,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",729,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14157,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",729,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14178,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",978,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14178,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",978,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14178,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",978,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14242,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",487,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14242,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",487,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14242,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",487,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14250,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",1098,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14250,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",1098,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14250,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",1098,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14252,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",688,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14252,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",688,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_14252,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",688,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_1547,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",345,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_1547,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",345,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_1547,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",345,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_1647,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",461,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_1647,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",461,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_1647,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",461,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_17,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",664,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_17,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",664,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_17,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",664,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_1885,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",661,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_1885,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",661,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_1885,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",661,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_1942,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",590,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_1942,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",590,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_1942,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",590,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_1950,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",1282,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_1950,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",1282,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_1950,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",1282,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_2554,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",739,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_2554,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",739,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_2554,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",739,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_3191,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",643,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_3191,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",643,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_3191,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",643,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_3503,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",343,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_3503,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",343,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_3503,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",343,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_3522,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",748,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_3522,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",748,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_3522,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",748,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_3566,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",533,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_3566,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",533,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_3566,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",533,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_3650,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",603,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_3650,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",603,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_3650,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",603,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_4026,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",366,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_4026,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",366,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_4026,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",366,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_4542,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",373,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_4542,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",373,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_4542,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",373,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_4548,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",1325,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_4548,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",1325,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_4548,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",1325,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_4773,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",1202,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_4773,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",1202,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_4773,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",1202,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_4893,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",601,0,0.00000000,,
